common_name,botanical_name,plant_url
Butterfly Mariposa,Calochortus venustus,//legacy.calscape.org/qrcodes/Calochortus-venustus(192)
Lanceleaf Liveforever,Dudleya lanceolata,//legacy.calscape.org/qrcodes/Dudleya-lanceolata(192)
San Diego Sagewort,Artemisia palmeri,//legacy.calscape.org/qrcodes/Artemisia-palmeri(192)
Chaparral Whitethorn,Ceanothus leucodermis,//legacy.calscape.org/qrcodes/Ceanothus-leucodermis(192)
Narrow Leaf Milkweed,Asclepias fascicularis,//legacy.calscape.org/qrcodes/Asclepias-fascicularis(192)
Dwarf Mahonia,Berberis aquifolium var. repens,//legacy.calscape.org/qrcodes/Berberis-aquifolium-var.-repens(192)
Common Yarrow,Achillea millefolium,//legacy.calscape.org/qrcodes/Achillea-millefolium(192)
Chaparral Currant,Ribes malvaceum,//legacy.calscape.org/qrcodes/Ribes-malvaceum(192)
Western Red Cedar,Thuja plicata,//legacy.calscape.org/qrcodes/Thuja-plicata(192)
Baja California Birdbush,Ornithostaphylos oppositifolia,//legacy.calscape.org/qrcodes/Ornithostaphylos-oppositifolia(192)
Hollyleaf Cherry,Prunus ilicifolia,//legacy.calscape.org/qrcodes/Prunus-ilicifolia(192)
Leather Oak,Quercus durata,//legacy.calscape.org/qrcodes/Quercus-durata(192)
Woods' Rose,Rosa woodsii,//legacy.calscape.org/qrcodes/Rosa-woodsii(192)
Quaking Aspen,Populus tremuloides,//legacy.calscape.org/qrcodes/Populus-tremuloides(192)
Windpoppy,Papaver heterophyllum,//legacy.calscape.org/qrcodes/Papaver-heterophyllum(192)
Pinemat Manzanita,Arctostaphylos nevadensis,//legacy.calscape.org/qrcodes/Arctostaphylos-nevadensis(192)
Santa Cruz Island Ironwood,Lyonothamnus floribundus ssp. aspleniifolius,//legacy.calscape.org/qrcodes/Lyonothamnus-floribundus-ssp.-aspleniifolius(192)
Baker's Manzanita,Arctostaphylos bakeri,//legacy.calscape.org/qrcodes/Arctostaphylos-bakeri(192)
Brittlebush,Encelia farinosa,//legacy.calscape.org/qrcodes/Encelia-farinosa(192)
California Four O'clock,Mirabilis laevis var. crassifolia,//legacy.calscape.org/qrcodes/Mirabilis-laevis-var.-crassifolia(192)
Sacred Datura,Datura wrightii,//legacy.calscape.org/qrcodes/Datura-wrightii(192)
Arroyo Willow,Salix lasiolepis,//legacy.calscape.org/qrcodes/Salix-lasiolepis(192)
Wild Ginger,Asarum caudatum,//legacy.calscape.org/qrcodes/Asarum-caudatum(192)
Seep Monkey Flower,Erythranthe guttata,//legacy.calscape.org/qrcodes/Erythranthe-guttata(192)
Fryingpans,Eschscholzia lobbii,//legacy.calscape.org/qrcodes/Eschscholzia-lobbii(192)
Elegant Clarkia,Clarkia unguiculata,//legacy.calscape.org/qrcodes/Clarkia-unguiculata(192)
Firecracker Brodiaea,Dichelostemma ida-maia,//legacy.calscape.org/qrcodes/Dichelostemma-ida-maia(192)
Idaho Fescue,Festuca idahoensis,//legacy.calscape.org/qrcodes/Festuca-idahoensis(192)
Antelope Bitterbrush,Purshia tridentata,//legacy.calscape.org/qrcodes/Purshia-tridentata(192)
Island Manzanita,Arctostaphylos insularis,//legacy.calscape.org/qrcodes/Arctostaphylos-insularis(192)
Purple Chinese Houses,Collinsia heterophylla,//legacy.calscape.org/qrcodes/Collinsia-heterophylla(192)
Blue Dicks,Dipterostemon capitatus,//legacy.calscape.org/qrcodes/Dipterostemon-capitatus(192)
